Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Description,Investor Names
Venture Round - Sanergy,https://www.crunchbase.com/funding_round/sanergy-series-unknown--39548529,"Nairobi, Nairobi Area, Kenya, Africa",Sanergy,https://www.crunchbase.com/organization/sanergy,Venture - Series Unknown,,,,2013-04-19,"Sanergy generates fertilizer and other by-products through providing safe, affordable sanitation in the slums.","Acumen, SpringHill Equity Partners, The Eleos Foundation"
Seed Round - Yassir,https://www.crunchbase.com/funding_round/yassir-seed--9ae7eb93,"Algiers, Alger, Algeria, Africa",Yassir,https://www.crunchbase.com/organization/yassir,Seed,,,,2021-03-21,Yassir is a transport service that uses smartphone app and allows everyone to book drivers and move around safely.,"Andrew Vigneault, Claire Diaz-Ortiz, French Partners"
Seed Round - Koa Academy,https://www.crunchbase.com/funding_round/koa-academy-seed--f4a8af60,"Cape Town, NA - South Africa, South Africa, Africa",Koa Academy,https://www.crunchbase.com/organization/koa-academy,Seed,4000000,ZAR,276033,2021-07-14,Koa provides an IEB education for children in grades 4-12 through an online learning environment that is both structured and individualised.,Enygma Ventures
Seed Round - zVendo,https://www.crunchbase.com/funding_round/zvendo-seed--15866808,"Heliopolis, Al Qahirah, Egypt, Africa",zVendo,https://www.crunchbase.com/organization/zvendo,Seed,,,,2021-05-31,zVendo is an e-commerce platform where you can build your online store and display your brand.,"Gratus, Mobica"
Non Equity Assistance - Angaza Elimu,https://www.crunchbase.com/funding_round/angaza-elimu-non-equity-assistance--1878c6d4,"Nairobi, Nairobi Area, Kenya, Africa",Angaza Elimu,https://www.crunchbase.com/organization/angaza-elimu,Non-equity Assistance,,,,2021-05-18,Angaza Elimu is an edtech company that uses AI for on-demand quality and relevant education delivery.,Village Capital
Non Equity Assistance - Yu’sure,https://www.crunchbase.com/funding_round/yu-sure-non-equity-assistance--908fa02e,"Harare, NA - Zimbabwe, Zimbabwe, Africa",Yu’sure,https://www.crunchbase.com/organization/yu-sure,Non-equity Assistance,,,,2021-05-18,Yu’sure connects established insurance providers with unemployed youth.,Village Capital
Non Equity Assistance - Afrilearn,https://www.crunchbase.com/funding_round/afrilearn-non-equity-assistance--55252a64,"Ikeja, Lagos, Nigeria, Africa",Afrilearn,https://www.crunchbase.com/organization/afrilearn,Non-equity Assistance,,,,2021-05-18,"Afrilearn leverages genius tutors,animators, and developers to provide affordable, world-class education.",Village Capital
Non Equity Assistance - Gradely.ng,https://www.crunchbase.com/funding_round/gradely-ng-non-equity-assistance--28902fcc,"Lagos, Lagos, Nigeria, Africa",Gradely.ng,https://www.crunchbase.com/organization/gradely-ng,Non-equity Assistance,,,,2021-05-18,Gradely is using analytics and data-driven recommendations to help schools and parents intervene in real-time to children’s learning gaps.,Village Capital
Non Equity Assistance - Fundi App,https://www.crunchbase.com/funding_round/fundi-app-non-equity-assistance--b7611eb1,"Dar Es Salaam, Dar es Salaam, Tanzania, Africa",Fundi App,https://www.crunchbase.com/organization/fundi-app,Non-equity Assistance,,,,2021-05-18,"Fundi App is an on-demand mobile application that connects customers to the nearest vetted, affordable and reliable handymen in real-time.",Village Capital
Debt Financing - Victory Farms,https://www.crunchbase.com/funding_round/victory-farms-debt-financing--0f9b7925,"Nairobi, Nairobi Area, Kenya, Africa",Victory Farms,https://www.crunchbase.com/organization/victory-farms,Debt Financing,,,,2021-07-12,"Victory Farms is an aquaculture farm for tilapia fish comprising of hatcheries, nursery ponds and deep-water cages for farming.",AgDevCo
